iter	Passed	Remaining
0	55	43349
1	58	22908
2	61	15911
3	63	12379
4	66	10252
5	68	8846
6	71	7853
7	73	7071
8	75	6472
9	77	5996
10	79	5595
11	82	5271
12	84	4990
13	85	4675
14	85	4388
15	86	4151
16	87	3941
17	88	3753
18	89	3585
19	90	3434
20	91	3299
21	91	3173
22	92	3059
23	93	2954
24	94	2854
25	95	2768
26	96	2687
27	97	2610
28	97	2538
29	98	2471
30	99	2409
31	100	2353
32	101	2299
33	102	2248
34	103	2203
35	104	2159
36	105	2116
37	106	2074
38	107	2036
39	107	1997
40	108	1961
41	109	1922
42	109	1884
43	110	1847
44	110	1812
45	111	1779
46	111	1746
47	112	1715
48	112	1685
49	113	1656
50	113	1629
51	114	1602
52	114	1575
53	115	1549
54	115	1524
55	115	1499
56	116	1476
57	116	1453
58	116	1431
59	117	1409
60	117	1389
61	118	1368
62	118	1349
63	118	1330
64	119	1312
65	119	1295
66	119	1278
67	120	1261
68	120	1245
69	121	1229
70	121	1214
71	121	1199
72	122	1184
73	122	1170
74	122	1157
75	123	1143
76	123	1130
77	124	1117
78	124	1105
79	124	1093
80	125	1081
81	125	1069
82	125	1058
83	126	1047
84	126	1036
85	126	1025
86	127	1016
87	127	1006
88	128	996
89	128	986
90	128	977
91	129	967
92	129	958
93	129	949
94	130	941
95	130	932
96	131	924
97	131	915
98	131	907
99	132	899
100	132	892
101	132	884
102	133	877
103	133	869
104	134	862
105	134	855
106	134	848
107	135	841
108	135	835
109	135	828
110	136	821
111	136	815
112	136	809
113	137	803
114	137	796
115	137	790
116	138	785
117	138	779
118	139	773
119	139	768
120	139	762
121	140	757
122	140	751
123	140	746
124	141	741
125	141	736
126	141	731
127	142	726
128	142	721
129	143	716
130	143	711
131	143	706
132	144	702
133	144	697
134	144	692
135	145	688
136	145	684
137	145	680
138	146	675
139	146	671
140	147	667
141	147	663
142	147	659
143	148	655
144	148	651
145	148	647
146	149	643
147	149	639
148	149	635
149	150	631
150	150	628
151	150	624
152	151	621
153	151	617
154	152	614
155	152	610
156	152	607
157	153	603
158	153	600
159	153	597
160	154	593
161	154	590
162	154	587
163	155	584
164	155	581
165	156	578
166	156	574
167	156	571
168	157	568
169	157	565
170	157	562
171	158	560
172	158	557
173	158	554
174	159	551
175	159	548
176	160	546
177	160	543
178	160	540
179	161	538
180	161	535
181	162	533
182	162	531
183	162	528
184	163	526
185	163	523
186	164	521
187	164	518
188	164	516
189	165	513
190	165	511
191	165	509
192	166	506
193	166	504
194	167	502
195	167	499
196	167	497
197	168	495
198	168	492
199	168	490
200	169	488
201	169	486
202	169	483
203	170	482
204	170	480
205	171	478
206	171	475
207	171	473
208	172	471
209	172	469
210	173	467
211	173	465
212	173	463
213	174	461
214	174	459
215	174	457
216	175	455
217	175	453
218	176	451
219	176	450
220	176	448
221	177	446
222	177	444
223	178	442
224	178	440
225	178	439
226	179	437
227	179	435
228	179	433
229	180	431
230	180	429
231	180	428
232	181	426
233	181	424
234	182	422
235	182	421
236	182	419
237	183	417
238	183	416
239	183	414
240	184	412
241	184	411
242	184	409
243	185	407
244	185	406
245	186	404
246	186	403
247	186	401
248	187	399
249	187	398
250	187	396
251	188	395
252	188	393
253	188	391
254	189	390
255	189	388
256	189	387
257	190	385
258	190	384
259	191	382
260	191	381
261	191	379
262	192	378
263	192	376
264	192	375
265	193	374
266	193	372
267	193	371
268	194	369
269	194	368
270	194	366
271	195	365
272	195	364
273	196	362
274	196	361
275	196	359
276	197	358
277	197	357
278	197	355
279	198	354
280	198	353
281	198	351
282	199	350
283	199	349
284	199	347
285	200	346
286	200	345
287	200	344
288	201	342
289	201	341
290	202	340
291	202	338
292	202	337
293	203	336
294	203	335
295	203	333
296	204	332
297	204	331
298	204	330
299	205	329
300	205	327
301	205	326
302	206	325
303	206	324
304	206	322
305	207	321
306	207	320
307	208	319
308	208	318
309	208	317
310	209	315
311	209	314
312	209	313
313	210	312
314	210	311
315	210	310
316	211	309
317	211	308
318	212	307
319	212	305
320	212	304
321	213	303
322	213	302
323	213	301
324	214	300
325	214	299
326	214	298
327	215	297
328	215	296
329	215	295
330	216	293
331	216	292
332	216	291
333	217	290
334	217	289
335	218	289
336	219	288
337	219	287
338	220	287
339	220	286
340	221	285
341	221	284
342	222	283
343	222	282
344	223	281
345	223	281
346	223	280
347	224	279
348	224	278
349	225	277
350	225	276
351	226	275
352	226	274
353	226	273
354	227	272
355	227	271
356	228	270
357	228	270
358	229	269
359	229	268
360	229	267
361	230	266
362	230	265
363	231	264
364	231	263
365	231	262
366	232	261
367	232	261
368	233	260
369	233	259
370	233	258
371	234	257
372	234	256
373	235	255
374	235	254
375	235	254
376	236	253
377	236	252
378	237	251
379	237	250
380	238	249
381	238	249
382	238	248
383	239	247
384	239	246
385	240	245
386	240	244
387	240	243
388	241	243
389	241	242
390	242	241
391	242	240
392	242	239
393	243	239
394	243	238
395	244	237
396	244	236
397	245	235
398	245	234
399	245	234
400	246	233
401	246	232
402	247	231
403	247	231
404	248	230
405	248	229
406	249	229
407	249	228
408	250	227
409	250	226
410	251	226
411	251	225
412	252	224
413	253	224
414	253	223
415	254	223
416	254	222
417	255	221
418	255	220
419	256	220
420	256	219
421	256	218
422	257	217
423	257	217
424	258	216
425	258	215
426	259	214
427	259	214
428	259	213
429	260	212
430	260	211
431	261	211
432	261	210
433	262	209
434	262	208
435	262	208
436	263	207
437	263	206
438	264	205
439	264	205
440	265	205
441	266	204
442	266	203
443	267	202
444	267	201
445	267	201
446	268	200
447	268	199
448	269	199
449	269	198
450	270	197
451	270	196
452	270	196
453	271	195
454	271	194
455	272	193
456	272	193
457	273	192
458	273	191
459	273	191
460	274	190
461	274	189
462	275	189
463	275	188
464	275	187
465	276	186
466	276	186
467	277	185
468	277	184
469	278	184
470	278	183
471	279	182
472	279	182
473	279	181
474	280	180
475	280	179
476	281	179
477	281	178
478	282	177
479	282	177
480	282	176
481	283	175
482	283	175
483	284	174
484	284	173
485	284	172
486	285	172
487	285	171
